Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,8.24114,10.46396,-90,top
C2,100nF,C_0805_2012Metric,8.24114,14.27396,90,top
C3,1000µF,CP_Radial_D8.0mm_P3.50mm,-13.02,10.997349,90,top
F1,Fuse,PTF_77,-10.95,6.542,-90,top
J1,Conn_01x04_Male,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",-19.676,-5.3196,-90,top
J2,Conn_01x05_Male,PinHeader_1x05_P2.54mm_Vertical,15.39632,-14.58646,-90,top
J3,Conn_01x03,"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",-19.676,4.0784,-90,top
R1,10kΩ,R_0805_2012Metric,19.77274,14.25618,-90,top
R2,10kΩ,R_0805_2012Metric,-2.16016,-14.0064,-90,top
R3,10kΩ,R_0805_2012Metric,19.77528,10.3395,-90,top
R4,10kΩ,R_0805_2012Metric,0.00392,-14.0064,90,top
R5,10kΩ,R_0805_2012Metric,2.168,-14.0064,90,top
R6,330Ω,R_0805_2012Metric,-5.7568,12.7652,-90,top
SW1,SW_Reset,SW_Push_1P1T_NO_CK_KMR2,-3.35904,3.16146,90,top
SW2,SW_GPIO0,SW_Push_1P1T_NO_CK_KMR2,-3.36158,-6.96806,-90,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,14.21014,12.36896,0,top
U2,ESP-12F,ESP-12E,12.50326,-1.47712,-90,top
U3,SN74AHCT125D,SN74AHCT125D,0.4,12.7144,-90,top
